geneA	geneB
DNMT3A	SAP18
DNMT3A	DDX3X
DNMT3A	SEC16A
DNMT3A	U2SURP
DNMT3A	SYNJ2
DNMT3A	DHX15
DNMT3A	HNRNPR
DNMT3A	SYNCRIP
DNMT3A	MRPS14
DNMT3A	DNAJA2
DNMT3A	FLNB
DNMT3A	NCOR1
DNMT3A	PRPF40A
DNMT3A	SRSF10
DNMT3A	SNRNP200
DNMT3A	BCAS2
DNMT3A	LUC7L3
DNMT3A	LDHA
DNMT3A	EGFR
DNMT3A	PLG
DNMT3A	HSPB1
DNMT3A	ATP1A1
DNMT3A	SLC25A5
DNMT3A	KRT18
DNMT3A	ATP5F1B
DNMT3A	NPM1
DNMT3A	H1-0
DNMT3A	TUBB
DNMT3A	HNRNPC
DNMT3A	SNRNP70
DNMT3A	TPM1
DNMT3A	HSPA5
DNMT3A	HSPA8
DNMT3A	DBT
DNMT3A	PABPC1
DNMT3A	SLC25A6
DNMT3A	BCKDHA
DNMT3A	HNRNPL
DNMT3A	RPS2
DNMT3A	H1-5
DNMT3A	DDX5
DNMT3A	RPL35A
DNMT3A	RPL7
DNMT3A	SON
DNMT3A	RPL17
DNMT3A	NCL
DNMT3A	PCMT1
DNMT3A	FBL
DNMT3A	HNRNPA2B1
DNMT3A	SFPQ
DNMT3A	RPS3
DNMT3A	CFL1
DNMT3A	RPS12
DNMT3A	ATP5F1A
DNMT3A	U2AF2
DNMT3A	RPL13
DNMT3A	PTBP1
DNMT3A	RPL10
DNMT3A	ABCD3
DNMT3A	GRN
DNMT3A	HNRNPH1
DNMT3A	RPL4
DNMT3A	RBMX
DNMT3A	HSPA9
DNMT3A	EIF4A3
DNMT3A	RPS19
DNMT3A	RPL3
DNMT3A	RPS27
DNMT3A	MATR3
DNMT3A	VDAC2
DNMT3A	RPL5
DNMT3A	RPS9
DNMT3A	RPS5
DNMT3A	RPL29
DNMT3A	ATP5PO
DNMT3A	TUFM
DNMT3A	RARRES1
DNMT3A	EMD
DNMT3A	RPL14
DNMT3A	SSR4
DNMT3A	HNRNPA3
DNMT3A	HNRNPM
DNMT3A	HNRNPF
DNMT3A	COPA
DNMT3A	HNRNPH2
DNMT3A	MARS1
DNMT3A	RPS20
DNMT3A	RPL15
DNMT3A	HNRNPK
DNMT3A	RPS8
DNMT3A	RPS15A
DNMT3A	RPS16
DNMT3A	RPS13
