	Nucleoplasm	N. membrane	Nucleoli	N. fibrillar c.	N. speckles	N. bodies	ER	Golgi app.	Peroxisomes	Endosomes	Lysosomes	Int. fil.	Actin fil.	F. a. sites	Microtubules	M. ends	Cyt. bridge	Mitotic spindle	MTOC	Centrosome	Lipid droplets	PM	C. Junctions	Mitochondria	Aggresome	Cytosol	C. bodies	Rods & Rings
BPTF	0.7186262607574463	0.39876437187194824	0.06224706768989563	0.07433513551950455	0.07347865402698517	0.18485185503959656	0.07998424023389816	0.10915028303861618	0.0009254470351152122	0.000396307441405952	0.000214851665077731	0.0899314135313034	0.06552436947822571	0.03181388974189758	0.018422704190015793	0.00036977394483983517	0.11642616987228394	0.062314942479133606	0.03315754979848862	0.09057070314884186	0.020291944965720177	0.16863295435905457	0.03865564987063408	0.03723146393895149	0.010848172008991241	0.3004828095436096	0.5526914596557617	0.006305275484919548
KAT2B	0.2837807238101959	0.08100108057260513	0.4308149516582489	0.1255919188261032	0.10887225717306137	0.1200980395078659	0.17257894575595856	0.35414406657218933	0.028146125376224518	0.02794969081878662	0.025680487975478172	0.17388243973255157	0.0746791660785675	0.1770547777414322	0.02649526484310627	0.008443698287010193	0.08855997025966644	0.09138936549425125	0.16952769458293915	0.24184414744377136	0.1262064278125763	0.25389713048934937	0.10004381835460663	0.2235550880432129	0.03739915043115616	0.4829154312610626	0.16221365332603455	0.054958995431661606
PARP1	0.5806964635848999	0.12331310659646988	0.3685420751571655	0.19628116488456726	0.08439778536558151	0.21498443186283112	0.12242848426103592	0.20530468225479126	0.0015481595182791352	0.0020358068868517876	0.0017611922230571508	0.07068304717540741	0.03678703308105469	0.052154961973428726	0.020021317526698112	0.001976181287318468	0.07979179918766022	0.03998684510588646	0.08012446761131287	0.1361236721277237	0.032485634088516235	0.2685713469982147	0.07483994215726852	0.1372409611940384	0.012838921509683132	0.3730016052722931	0.3458249568939209	0.0139842564240098
MSL1	0.24815623462200165	0.009912378154695034	0.08042360842227936	0.03579253330826759	0.14819790422916412	0.09813790768384933	0.101722851395607	0.10249792039394379	0.001119536580517888	0.0016780331498011947	0.0005561922444030643	0.18582625687122345	0.05596018582582474	0.1333535760641098	0.05108308419585228	0.00203460780903697	0.08971191197633743	0.06375618278980255	0.07446533441543579	0.09525848180055618	0.0540316216647625	0.5848422646522522	0.42725107073783875	0.030608700588345528	0.008389913477003574	0.3888076841831207	0.12274124473333359	0.02450067736208439
KAT6B	0.6064236760139465	0.10176318138837814	0.3376554548740387	0.20131118595600128	0.07897771149873734	0.624009907245636	0.036678969860076904	0.16816876828670502	0.0003010901855304837	0.00011147106852149591	0.00017365769599564373	0.11397651582956314	0.0504942312836647	0.0389540009200573	0.01847444847226143	0.028477659448981285	0.12997959554195404	0.056402478367090225	0.07252178341150284	0.07868077605962753	0.0026462096720933914	0.17761102318763733	0.09009113907814026	0.12760919332504272	0.0058162328787148	0.22301821410655975	0.11772909760475159	0.00375077105127275
HDAC8	0.4942212998867035	0.060975704342126846	0.24121570587158203	0.15763422846794128	0.1222880482673645	0.14982950687408447	0.17779868841171265	0.3618502616882324	0.003418303793296218	0.011902935802936554	0.008886872790753841	0.22991983592510223	0.13842123746871948	0.19612669944763184	0.027612462639808655	0.002851536264643073	0.12559163570404053	0.0711737647652626	0.15734058618545532	0.2273135930299759	0.1158711239695549	0.3579336106777191	0.1836344599723816	0.1914108693599701	0.03248913958668709	0.37198787927627563	0.25180187821388245	0.022907160222530365
KDM5C	0.6727750897407532	0.07590750604867935	0.08940393477678299	0.06627890467643738	0.04324662312865257	0.12966260313987732	0.12475106865167618	0.1275106966495514	0.00118306337390095	0.00048449818859808147	0.0002517857647035271	0.2608092129230499	0.12372023612260818	0.11577264219522476	0.01120521780103445	0.0005017261137254536	0.08120071142911911	0.06310804933309555	0.07358887046575546	0.1534014642238617	0.021671436727046967	0.3065837025642395	0.1091802790760994	0.06382683664560318	0.008313596248626709	0.2831331193447113	0.5030027627944946	0.02679944783449173
BAZ1B	0.3618726134300232	0.026831690222024918	0.1688825786113739	0.16304583847522736	0.05551361292600632	0.14123216271400452	0.15347494184970856	0.16493257880210876	0.004819060210138559	0.02607923373579979	0.01828809268772602	0.11111768335103989	0.06089243292808533	0.06851305812597275	0.034552980214357376	0.00254492717795074	0.10955613106489182	0.10228690505027771	0.12873263657093048	0.17741914093494415	0.035592809319496155	0.25535863637924194	0.08535747975111008	0.07208824902772903	0.02140953578054905	0.7011474967002869	0.39446398615837097	0.04127763956785202
DNMT1	0.21948084235191345	0.03186752647161484	0.3310149610042572	0.13844455778598785	0.02333013340830803	0.15514838695526123	0.10179311037063599	0.1575109213590622	0.0008416420314460993	0.0008839086513034999	0.0005605392507277429	0.07646238058805466	0.04373784363269806	0.03245430439710617	0.07500565052032471	0.0011945337755605578	0.11342011392116547	0.10420150309801102	0.055538758635520935	0.21874700486660004	0.006105589680373669	0.33614861965179443	0.03648931533098221	0.04853830859065056	0.009388509206473827	0.7511029243469238	0.054996389895677567	0.0032882830128073692
KMT2E	0.7328380346298218	0.053907737135887146	0.057281430810689926	0.032465506345033646	0.09641462564468384	0.2640793025493622	0.19197072088718414	0.18304800987243652	0.001809948356822133	0.0004709067870862782	0.0008105101296678185	0.16465909779071808	0.07031761109828949	0.07072217762470245	0.013527586124837399	0.0005173392710275948	0.10037697106599808	0.030720235779881477	0.04149013012647629	0.0819009467959404	0.018115809187293053	0.23371635377407074	0.09538540244102478	0.15528342127799988	0.006445515900850296	0.25791504979133606	0.2618339955806732	0.014810691587626934
BRD4	0.48541152477264404	0.09572228789329529	0.2640422582626343	0.12799912691116333	0.156574547290802	0.20643533766269684	0.13294284045696259	0.30738839507102966	0.005580110475420952	0.017221087589859962	0.013303624466061592	0.2680622935295105	0.10433457791805267	0.19602282345294952	0.025591550394892693	0.0075032091699540615	0.09833676367998123	0.07275836169719696	0.1913660615682602	0.26855120062828064	0.07525544613599777	0.33127740025520325	0.15278691053390503	0.19404399394989014	0.04705351963639259	0.44969022274017334	0.18073366582393646	0.03797781467437744
YWHAE	0.13794313371181488	0.008044305257499218	0.1662895679473877	0.046510037034749985	0.0658254474401474	0.15041297674179077	0.2871153652667999	0.1975240558385849	0.00040980239282362163	0.00044426199747249484	0.0007261383580043912	0.07707123458385468	0.016849352046847343	0.053106047213077545	0.007134927436709404	0.0003301313263364136	0.0470380075275898	0.046140700578689575	0.06726536154747009	0.1603783816099167	0.01664147339761257	0.20432239770889282	0.06992597877979279	0.10344631224870682	0.006434354465454817	0.665164053440094	0.08112632483243942	0.02045600116252899
TP53BP1	0.3306981325149536	0.067292720079422	0.2594335079193115	0.1803273856639862	0.14585618674755096	0.6534773707389832	0.15328732132911682	0.213232159614563	0.0037838935386389494	0.005084564909338951	0.006550283636897802	0.11640962213277817	0.12787194550037384	0.06531977653503418	0.015994062647223473	0.0032366630621254444	0.05403925105929375	0.033428218215703964	0.1389351338148117	0.20282773673534393	0.010925010778009892	0.18077495694160461	0.051207106560468674	0.0858793780207634	0.043757323175668716	0.27308550477027893	0.08810993283987045	0.005039412062615156
BAP1	0.650911808013916	0.05825253948569298	0.13014370203018188	0.17528101801872253	0.08198598027229309	0.42994424700737	0.05915088206529617	0.14739283919334412	0.0020702139008790255	0.0026546826120465994	0.0023626203183084726	0.09950067102909088	0.20335309207439423	0.038296956568956375	0.05305773764848709	0.011962118558585644	0.11060216277837753	0.05285882204771042	0.09962211549282074	0.15158359706401825	0.00945537630468607	0.16178448498249054	0.05336344987154007	0.08485393226146698	0.022470368072390556	0.3937755227088928	0.3846418261528015	0.012452731840312481
PHF6	0.3051239848136902	0.1872662454843521	0.5473157167434692	0.23105238378047943	0.15892763435840607	0.150568887591362	0.14242617785930634	0.18240652978420258	0.0028742372523993254	0.0009252764866687357	0.0009568645036779344	0.14698857069015503	0.11402059346437454	0.1467895805835724	0.03776631876826286	0.010262371972203255	0.1426600068807602	0.022545883432030678	0.09143899381160736	0.16965891420841217	0.03229980543255806	0.3464082181453705	0.197624072432518	0.20211459696292877	0.02055329643189907	0.3700627088546753	0.17306461930274963	0.00797985214740038
HDAC1	0.7897576093673706	0.064893439412117	0.05561026185750961	0.06225210055708885	0.03526515141129494	0.11988896876573563	0.1735733449459076	0.11935340613126755	0.0003201767394784838	6.9282395998016e-05	0.00013301009312272072	0.23030340671539307	0.05180992931127548	0.035428550094366074	0.003326129401102662	3.221505903638899e-05	0.04654541239142418	0.020840061828494072	0.06481488049030304	0.05122373253107071	0.01172548346221447	0.15251106023788452	0.057841707020998	0.3484349548816681	0.004115635994821787	0.4024313688278198	0.22170355916023254	0.002754541113972664
HDAC9	0.25036704540252686	0.026339523494243622	0.2977488338947296	0.03986606374382973	0.019605275243520737	0.13140776753425598	0.06101006641983986	0.10063543170690536	0.0004923078813590109	0.0006228475831449032	0.0006132906419225037	0.06937645375728607	0.04488013684749603	0.07013984024524689	0.015322756953537464	0.0006835619569756091	0.03928687795996666	0.03011711686849594	0.034049518406391144	0.15329355001449585	0.028325334191322327	0.2931855022907257	0.0328100211918354	0.031381260603666306	0.007491265889257193	0.8036400675773621	0.039343979209661484	0.002205152763053775
