filename,if_plate_id,position,sample,locations,antibody,ensembl_ids,gene_names
B2AI_1_untreated_C1_R1_,B2AI_1_untreated,C1,R1,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R2_,B2AI_1_untreated,C1,R2,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R3_,B2AI_1_untreated,C1,R3,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R5_,B2AI_1_untreated,C1,R5,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R6_,B2AI_1_untreated,C1,R6,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R7_,B2AI_1_untreated,C1,R7,,CAB079904,ENSG00000187555,
B2AI_1_untreated_C1_R8_,B2AI_1_untreated,C1,R8,,CAB079904,ENSG00000187555,
B2AI_1_untreated_G9_R1_,B2AI_1_untreated,G9,R1,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R2_,B2AI_1_untreated,G9,R2,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R3_,B2AI_1_untreated,G9,R3,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R4_,B2AI_1_untreated,G9,R4,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R5_,B2AI_1_untreated,G9,R5,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R6_,B2AI_1_untreated,G9,R6,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R7_,B2AI_1_untreated,G9,R7,,CAB079921,ENSG00000186298,
B2AI_1_untreated_G9_R8_,B2AI_1_untreated,G9,R8,,CAB079921,ENSG00000186298,
B2AI_1_untreated_E2_R1_,B2AI_1_untreated,E2,R1,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R2_,B2AI_1_untreated,E2,R2,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R3_,B2AI_1_untreated,E2,R3,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R4_,B2AI_1_untreated,E2,R4,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R5_,B2AI_1_untreated,E2,R5,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R6_,B2AI_1_untreated,E2,R6,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R7_,B2AI_1_untreated,E2,R7,,CAB080425,ENSG00000108773,
B2AI_1_untreated_E2_R8_,B2AI_1_untreated,E2,R8,,CAB080425,ENSG00000108773,
B2AI_1_untreated_A4_R1_,B2AI_1_untreated,A4,R1,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R2_,B2AI_1_untreated,A4,R2,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R3_,B2AI_1_untreated,A4,R3,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R4_,B2AI_1_untreated,A4,R4,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R5_,B2AI_1_untreated,A4,R5,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R6_,B2AI_1_untreated,A4,R6,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R7_,B2AI_1_untreated,A4,R7,,CAB080426,ENSG00000147099,
B2AI_1_untreated_A4_R8_,B2AI_1_untreated,A4,R8,,CAB080426,ENSG00000147099,
B2AI_1_untreated_D4_R2_,B2AI_1_untreated,D4,R2,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R3_,B2AI_1_untreated,D4,R3,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R4_,B2AI_1_untreated,D4,R4,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R5_,B2AI_1_untreated,D4,R5,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R6_,B2AI_1_untreated,D4,R6,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R7_,B2AI_1_untreated,D4,R7,,CAB080427,ENSG00000163517,
B2AI_1_untreated_D4_R8_,B2AI_1_untreated,D4,R8,,CAB080427,ENSG00000163517,
B2AI_1_untreated_B3_R1_,B2AI_1_untreated,B3,R1,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R2_,B2AI_1_untreated,B3,R2,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R3_,B2AI_1_untreated,B3,R3,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R4_,B2AI_1_untreated,B3,R4,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R5_,B2AI_1_untreated,B3,R5,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R6_,B2AI_1_untreated,B3,R6,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R7_,B2AI_1_untreated,B3,R7,,CAB080428,ENSG00000116478,
B2AI_1_untreated_B3_R8_,B2AI_1_untreated,B3,R8,,CAB080428,ENSG00000116478,
B2AI_1_untreated_D10_R1_,B2AI_1_untreated,D10,R1,,CAB080429,ENSG00000156983,
